file_name,index,mass,channel_type
FullStack,1,Pd102,IMC
FullStack,2,Rh103,IMC
FullStack,3,Pd104,IMC
FullStack,4,Pd105,IMC
FullStack,5,Pd106,IMC
FullStack,6,Pd108,IMC
FullStack,7,Pd110,IMC
FullStack,8,In113,IMC
FullStack,9,In115,IMC
FullStack,10,Te125,IMC
FullStack,11,La139,IMC
FullStack,12,Pr141,IMC
FullStack,13,Nd142,IMC
FullStack,14,Nd143,IMC
FullStack,15,Nd144,IMC
FullStack,16,Nd145,IMC
FullStack,17,Nd146,IMC
FullStack,18,Sm147,IMC
FullStack,19,Nd148,IMC
FullStack,20,Sm149,IMC
FullStack,21,Nd150,IMC
FullStack,22,Eu151,IMC
FullStack,23,Sm152,IMC
FullStack,24,Eu153,IMC
FullStack,25,Sm154,IMC
FullStack,26,Gd155,IMC
FullStack,27,Gd156,IMC
FullStack,28,Gd158,IMC
FullStack,29,Tb159,IMC
FullStack,30,Gd160,IMC
FullStack,31,Dy161,IMC
FullStack,32,Dy162,IMC
FullStack,33,Dy163,IMC
FullStack,34,Dy164,IMC
FullStack,35,Ho165,IMC
FullStack,36,Er166,IMC
FullStack,37,Er167,IMC
FullStack,38,Er168,IMC
FullStack,39,Tm169,IMC
FullStack,40,Er170,IMC
FullStack,41,Yb171,IMC
FullStack,42,Yb172,IMC
FullStack,43,Yb173,IMC
FullStack,44,Yb174,IMC
FullStack,45,Lu175,IMC
FullStack,46,Yb176,IMC
FullStack,47,Ir193,IMC
FullStack,48,Pt194,IMC
FullStack,49,Pt195,IMC
FullStack,50,Bi209,IMC
FullStack,51,Y89,IMC
